title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
100 All-Time Favorites     ,DS,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,0.51m,0.35m,0.12m,N/A,0.04m,27th Oct 09  
Picross DS    ,DS,Nintendo  ,Jupiter Multimedia  ,8.4  ,N/A  ,0.50m,0.17m,0.02m,0.30m,0.02m,30th Jul 07  
Picross 3D    ,DS,Nintendo  ,HAL Laboratory  ,8.7  ,N/A  ,0.50m,0.28m,0.03m,0.16m,0.03m,03rd May 10  
Mario & Wario    ,SNES,Nintendo  ,Game Freak  ,N/A  ,N/A  ,0.49m,N/A,N/A,0.49m,0.00m,27th Aug 93  
Scrabble 2007 Edition    ,DS,Ubisoft  ,WizarBox  ,N/A  ,N/A  ,0.48m,N/A,0.48m,N/A,0.00m,04th Oct 07  
Fantavision    ,PS2,Sony Computer Entertainment  ,SCEI  ,8.0  ,N/A  ,0.47m,0.14m,0.11m,0.19m,0.04m,25th Oct 00  
Super Puyo Puyo 2    ,SNES,Compile  ,Complie  ,N/A  ,N/A  ,0.47m,N/A,N/A,0.47m,0.00m,08th Dec 95  
Classic NES Series: Pac-Man    ,GBA,Nintendo  ,Nintendo  ,5.7  ,N/A  ,0.46m,0.25m,0.09m,0.12m,0.01m,02nd Jun 04  
Crayola: Treasure Adventures    ,DS,Crave Entertainment  ,Crave Entertainment  ,N/A  ,N/A  ,0.46m,0.42m,0.01m,N/A,0.03m,01st Oct 07  
Boom Blox Bash Party    ,Wii,Electronic Arts  ,EA Los Angeles  ,8.8  ,N/A  ,0.46m,0.33m,0.09m,N/A,0.04m,19th May 09  
Despicable Me: The Game - Minion Mayhem    ,DS,D3 Publisher  ,WayForward Technologies  ,N/A  ,N/A  ,0.45m,0.37m,0.05m,N/A,0.03m,06th Jul 10  
The New York Times Crosswords    ,DS,Majesco  ,BudCat Creations  ,N/A  ,N/A  ,0.45m,0.42m,0.00m,N/A,0.03m,29th May 07  
Pokémon Puzzle League    ,N64,Nintendo  ,Nintendo Software Technology Corporation  ,N/A  ,N/A  ,0.45m,0.36m,0.08m,N/A,0.01m,01st Sep 00  
Ms. Pac-Man Maze Madness    ,PS,Namco  ,Namco  ,N/A  ,N/A  ,0.44m,0.25m,0.17m,N/A,0.03m,08th Sep 00  
Super Bomberman 4    ,SNES,Hudson Soft  ,Produce!  ,N/A  ,N/A  ,0.44m,N/A,N/A,0.44m,0.00m,26th Apr 96  
Bomberman II    ,NES,Hudson Soft  ,Hudson Soft  ,N/A  ,N/A  ,0.44m,0.16m,0.03m,0.15m,0.10m,01st Jan 92  
Tetris Axis    ,3DS,Nintendo  ,Hudson Soft  ,7.8  ,N/A  ,0.44m,0.20m,0.14m,0.06m,0.03m,02nd Oct 11  
Super Breakout    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,0.44m,0.41m,0.03m,N/A,0.00m,01st Jan 78  
Master of Illusion    ,DS,Nintendo  ,Tenyo  ,N/A  ,N/A  ,0.43m,0.16m,0.00m,0.26m,0.01m,26th Nov 07  
TouchMaster 3    ,DS,Warner Bros. Interactive  ,Midway Studios San Diego  ,N/A  ,N/A  ,0.43m,0.29m,0.11m,N/A,0.04m,23rd Oct 09  
Dr. Mario 64    ,N64,Nintendo  ,Newcom  ,6.0  ,N/A  ,0.42m,0.34m,0.07m,N/A,0.00m,08th Apr 01  
Dig Dug    ,NES,Namco  ,Namco  ,N/A  ,N/A  ,0.41m,N/A,N/A,0.41m,N/A,04th Jun 85  
Katamari Forever    ,PS3,Namco Bandai  ,Bandai Namco Games  ,7.3  ,N/A  ,0.41m,0.26m,0.05m,0.06m,0.04m,22nd Sep 09  
