title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale,platform
Namco Museum    ,GBA,4.24,3.00,1.11,0.05,0.07,GBA
Daxter    ,PSP,4.23,2.45,1.02,N/A,0.77,PSP
Assassin's Creed: Revelations    ,PS3,4.23,1.41,2.03,0.10,0.69,PlayStation 3
Metal Gear Solid 3: Snake Eater    ,PS2,4.23,1.46,0.00,0.83,1.93,PlayStation 2
Assassin's Creed: Revelations    ,X360,4.22,2.28,1.47,0.04,0.44,Xbox 360
Warcraft II: Tides of Darkness    ,PC,4.21,1.70,2.27,N/A,0.23,PC
FIFA Soccer 06    ,PS2,4.21,0.78,2.55,0.04,0.84,PlayStation 2
EyeToy Play    ,PS2,4.20,0.88,2.30,0.20,0.83,PlayStation 2
Gran Turismo 5 Prologue    ,PS3,4.20,1.28,1.83,0.57,0.52,PlayStation 3
Street Fighter IV    ,PS3,4.19,2.04,1.05,0.59,0.52,PlayStation 3
FIFA Soccer 12    ,X360,4.18,0.85,2.79,0.02,0.52,Xbox 360
Call of Duty: Ghosts    ,PS4,4.17,1.79,1.64,0.05,0.69,PlayStation 4
Teenage Mutant Ninja Turtles    ,NES,4.17,3.38,0.44,0.31,0.04,NES
Excitebike    ,NES,4.16,2.04,0.48,1.57,0.07,NES
Frogger    ,PS,4.16,3.79,0.27,N/A,0.11,PlayStation
Star Wars Battlefront (2015)    ,XOne,4.15,2.49,1.26,0.02,0.38,Xbox One
FIFA 14    ,X360,4.15,0.94,2.92,0.01,0.29,Xbox 360
Nintendogs + cats    ,3DS,4.15,1.44,1.69,0.73,0.29,3DS
