title,console,console_developer,n_platforms,genre,release_year,publisher,developer,critic_score,total_sale,na_sale,pal_sale,japan_sale,other_sale
Dynasty Warriors 3,Xbox,Microsoft,2,action,2002,KOEI,Omega Force,7,0.08,0.06,0.02,0,0
Metal Gear Survive,Xbox One,Microsoft,2,action,2018,Konami Digital Entertainment,Konami Digital Entertainment,6.2,0.08,0.05,0.01,0,0.01
Legend of the Guardians: The Owls of Ga'Hoole,Xbox 360,Microsoft,2,action,2010,Warner Bros. Interactive,Krome Studios,6,0.07,0.06,0.01,0,0.01
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Xbox One,Microsoft,2,action,2016,Activision,PlatinumGames,5.5,0.07,0.05,0.01,0,0.01
Legend of Kay Anniversary,Wii U,Nintendo,5,action,2015,Nordic Games,Neon Studios,6.7,0.07,0.05,0.02,0,0.01
Pitfall: The Lost Expedition,Game Boy Advance,Nintendo,4,action,2004,Activision,Torus Games,6.6,0.07,0.05,0.02,0,0
James Cameron's Dark Angel,Xbox,Microsoft,2,action,2002,Sierra Entertainment,Sierra Entertainment,4.7,0.07,0.05,0.02,0,0
Escape Dead Island,Xbox 360,Microsoft,2,action,2014,Deep Silver,Fatshark,3.2,0.07,0.03,0.04,0,0.01
Tom Clancy's Splinter Cell: Chaos Theory,DS,Nintendo,3,action,2005,Ubisoft,Ubisoft,5,0.07,0.06,0,0,0.01
Tornado,DS,Nintendo,1,action,2008,Ignition Entertainment,SKONEC Entertainment,4.4,0.07,0.07,0,0,0.01
Harry Potter and the Sorcerer's Stone,Xbox,Microsoft,6,action,2003,Electronic Arts,Warthog,5.9,0.07,0.05,0.02,0,0
Samurai Warriors,Xbox,Microsoft,2,action,2004,KOEI,Omega Force,7.1,0.07,0.05,0.02,0,0
Pitfall: The Lost Expedition,Xbox,Microsoft,4,action,2004,Activision,Edge of Reality,7.3,0.07,0.05,0.01,0,0
River City Ransom EX,Game Boy Advance,Nintendo,1,action,2004,Atlus,Million,7.5,0.07,0.05,0.02,0,0
Dynasty Warriors DS: Fighter's Battle,DS,Nintendo,1,action,2007,KOEI,Omega Force,5.6,0.07,0.04,0,0.03,0
Tokyo Beat Down,DS,Nintendo,1,action,2009,Atlus,Success,5.6,0.07,0.06,0,0,0.01
