title,console,genre,release_date,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale
Monster Hunter Double Cross,3DS,action,18th Mar 17,Capcom,Capcom,1.68,NA,NA,1.68,NA
Star Wars The Clone Wars: Lightsaber Duels,Wii,action,11th Nov 08,LucasArts,Krome Studios,1.65,1.21,0.30,NA,0.14
Heavenly Sword,PS3,action,12th Sep 07,Sony Computer Entertainment,Ninja Theory,1.65,0.57,0.73,0.06,0.29
Dead Rising 3,XOne,action,22nd Nov 13,Microsoft Studios,Capcom,1.63,1.06,0.40,0.01,0.15
Uncharted: Golden Abyss,PSV,action,15th Feb 12,Sony Computer Entertainment,SCEA Bend Studio / Naughty Dog,1.62,0.53,0.71,0.13,0.25
Just Cause 2,X360,action,23rd Mar 10,Square Enix,Avalanche Studios,1.60,0.59,0.83,0.02,0.17
Devil May Cry 4,PS3,action,05th Feb 08,Capcom,Capcom,1.58,0.58,0.45,0.34,0.20
Batman: Arkham Knight,XOne,action,23rd Jun 15,Warner Bros. Interactive Entertainment,Rocksteady Studios,1.58,0.97,0.46,NA,0.14
LEGO Pirates of the Caribbean: The Video Game,Wii,action,10th May 11,Disney Interactive Studios,Traveller's Tales,1.57,0.73,0.69,NA,0.15
Hannah Montana: Music Jam,DS,action,16th Oct 07,Disney Interactive Studios,Fall Line Studio,1.56,1.05,0.36,NA,0.15
Twisted Metal,PS,action,05th Nov 95,Sony Computer Entertainment,SingleTrac,1.56,1.32,0.19,NA,0.05
Final Fight,SNES,action,10th Nov 91,Capcom,Capcom,1.56,0.67,0.17,0.69,0.03
Mafia II,X360,action,24th Aug 10,2K Games,Illusion Softworks,1.56,0.85,0.55,NA,0.15
Spider-Man 2: Enter: Electro,PS,action,17th Oct 01,Activision,Vicarious Visions,1.55,0.57,0.87,0.02,0.09
Pac-Man World 2,PS2,action,24th Feb 02,Namco,Namco,1.51,1.26,0.05,NA,0.21
Star Wars: The Force Unleashed II,PS3,action,26th Oct 10,LucasArts,LucasArts,1.51,0.80,0.50,NA,0.21
Dragon Ball: Xenoverse 2,PS4,action,25th Oct 16,Namco Bandai Games,Dimps Corporation,1.50,0.54,0.59,0.14,0.23
Metal Gear Rising: Revengeance,PS3,action,19th Feb 13,Konami Digital Entertainment,PlatinumGames,1.50,0.47,0.41,0.44,0.18
Pac-Man World,PS,action,30th Sep 99,Namco,Namco,1.50,1.21,0.14,0.10,0.04
Mafia II,PS3,action,24th Aug 10,2K Games,Illusion Softworks,1.49,0.50,0.70,0.04,0.25
Dead Rising 2,X360,action,28th Sep 10,Capcom,Blue Castle Games,1.49,0.75,0.53,0.09,0.13
LEGO Star Wars III: The Clone Wars,X360,action,22nd Mar 11,LucasArts,Traveller's Tales,1.48,0.84,0.51,NA,0.13
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,action,23rd Mar 04,Ubisoft,Ubisoft Shanghai,1.48,0.82,0.59,NA,0.07
Dying Light,XOne,action,06th Feb 16,Warner Bros. Interactive Entertainment,Techland,1.47,1.01,0.31,0.01,0.14
Ryse: Son of Rome,XOne,action,22nd Nov 13,Microsoft Studios,Crytek,1.47,0.84,0.49,0.00,0.13
The SpongeBob SquarePants Movie,GBA,action,27th Oct 04,THQ,WayForward,1.46,1.02,0.38,NA,0.06
Resident Evil 4,Wii,action,19th Jun 07,Capcom,Capcom Production Studio 4,1.46,1.26,0.06,0.14,NA
Onimusha 3: Demon Siege,PS2,action,27th Apr 04,Capcom,Capcom,1.45,0.37,0.47,0.54,0.07
Resident Evil Outbreak,PS2,action,31st Mar 04,Capcom,Capcom Production Studio 1,1.45,0.54,0.35,0.46,0.10
Assassin's Creed Syndicate,XOne,action,23rd Oct 15,Ubisoft,Ubisoft Quebec,1.44,0.71,0.61,NA,0.12
Star Wars: The Force Unleashed II,X360,action,26th Oct 10,LucasArts,LucasArts,1.44,0.95,0.37,NA,0.12
Frogger 2: Swampy's Revenge,PS,action,10th Oct 00,Hasbro Interactive,Blitz Games,1.43,0.80,0.54,NA,0.09
Middle-Earth: Shadow of Mordor,XOne,action,30th Sep 14,Warner Bros. Interactive Entertainment,Monolith Productions,1.42,0.77,0.52,0.01,0.12
Resident Evil,GC,action,30th Apr 02,Capcom,Capcom,1.42,0.63,0.38,0.35,0.05
